Sample,plant.ID,Target,Cq,group,,,
I.GFP.13.4th,GFP 13,ACT7,21.05895008,4th,,,
I.GFP.14.2nd,GFP 14,ACT7,20.54125496,2nd,,,
I.GFP.14.4th,GFP 14,ACT7,25.60807698,4th,,,
I.GFP.15.2nd,GFP 15,ACT7,21.32090511,2nd,,,
I.GFP.18.2nd,GFP 18,ACT7,20.57899922,2nd,,,
I.GFP.19.4th,GFP 19,ACT7,27.10467838,4th,,,
I.GFP.20.2nd,GFP 20,ACT7,20.21845789,2nd,,,
I.GFP.25.2nd,GFP 25,ACT7,20.13728937,2nd,,,
I.GFP.26.2nd,GFP 26,ACT7,21.58653404,2nd,,,
I.GFP.28.2nd,GFP 28,ACT7,23.87479838,2nd,,,
I.GFP.3.4th,GFP 3,ACT7,21.55990409,4th,,,
I.GFP.4.2nd,GFP 4,ACT7,21.33458038,2nd,,,
I.GFP.7.4th,GFP 7,ACT7,22.35163786,4th,,,
I.GFP.8.2nd,GFP 8,ACT7,22.72345293,2nd,,,
I.GFP1.2nd,GFP 1,ACT7,20.08125412,2nd,,,
I.HYD.1.2nd,HYD 1,ACT7,19.90160344,2nd,,,
I.HYD.1.4th,HYD 1,ACT7,23.37852592,4th,,,
I.HYD.10.2nd,HYD 10,ACT7,20.40577364,2nd,,,
I.HYD.10.4th,HYD 10,ACT7,21.00150163,4th,,,
I.HYD.11.2nd,HYD 11,ACT7,23.02720544,2nd,,,
I.HYD.11.4th,HYD 11,ACT7,21.67797103,4th,,,
I.HYD.12.2nd,HYD 12,ACT7,21.27638054,2nd,,,
I.HYD.12.4th,HYD 12,ACT7,28.42866688,4th,,,
I.HYD.13.2nd,HYD 13,ACT7,19.95857425,2nd,,,
I.HYD.13.4th,HYD 13,ACT7,21.29535615,4th,,,
I.HYD.15.2nd,HYD 15,ACT7,20.55656208,2nd,,,
I.HYD.15.4th,HYD 15,ACT7,20.40135032,4th,,,
I.HYD.16.2nd,HYD 16,ACT7,21.38219891,2nd,,,
I.HYD.17.2nd,HYD 17,ACT7,23.44894097,2nd,,,
I.HYD.18.2nd,HYD 18,ACT7,20.28918524,2nd,,,
I.HYD.18.4th,HYD 18,ACT7,22.13388359,4th,,,
I.HYD.19.4th,HYD 19,ACT7,21.6732732,4th,,,
I.HYD.2.2nd,HYD 2,ACT7,21.01884449,2nd,,,
I.HYD.2.4th,HYD 2,ACT7,20.79929176,4th,,,
I.HYD.20.2nd,HYD 20,ACT7,23.00627115,2nd,,,
I.HYD.20.4th,HYD 20,ACT7,27.38924767,4th,,,
I.HYD.21.2nd,HYD 21,ACT7,21.27038773,2nd,,,
I.HYD.21.4th,HYD 21,ACT7,22.65674254,4th,,,
I.HYD.22.2nd,HYD 22,ACT7,23.79530752,2nd,,,
I.HYD.22.4th,HYD 22,ACT7,21.40918022,4th,,,
I.HYD.23.2nd,HYD 23,ACT7,20.2952616,2nd,,,
I.HYD.23.4th,HYD 23,ACT7,19.5600425,4th,,,
I.HYD.24.2nd,HYD 24,ACT7,20.91515225,2nd,,,
I.HYD.25.2nd,HYD 25,ACT7,23.58734379,2nd,,,
I.HYD.26.2nd,HYD 26,ACT7,20.49589084,2nd,,,
I.HYD.26.4th,HYD 26,ACT7,20.2294558,4th,,,
I.HYD.27.2nd,HYD 27,ACT7,20.26594755,2nd,,,
I.HYD.27.4th,HYD 27,ACT7,20.67036651,4th,,,
I.HYD.28.2nd,HYD 28,ACT7,21.85235478,2nd,,,
I.HYD.28.4th,HYD 28,ACT7,23.70109786,4th,,,
I.HYD.3.2nd,HYD 3,ACT7,20.80651584,2nd,,,
I.HYD.3.4th,HYD 3,ACT7,25.75131854,4th,,,
I.HYD.4.2nd,HYD 4,ACT7,21.42555312,2nd,,,
I.HYD.4.4th,HYD 4,ACT7,22.07515365,4th,,,
I.HYD.5.2nd,HYD 5,ACT7,21.56070163,2nd,,,
I.HYD.5.4th,HYD 5,ACT7,20.96988043,4th,,,
I.HYD.6.2nd,HYD 6,ACT7,21.82834954,2nd,,,
I.HYD.6.4th,HYD 6,ACT7,20.8752277,4th,,,
I.HYD.7.2nd,HYD 7,ACT7,20.52056957,2nd,,,
I.HYD.8.2nd,HYD 8,ACT7,21.33189081,2nd,,,
I.HYD.9.2nd,HYD 9,ACT7,21.1843812,2nd,,,
I.Unif.11.4th,Unif 11,ACT7,21.44313193,4th,,,
I.Unif.15.4th,Unif 15,ACT7,19.38946544,4th,,,
I.Unif.16.2ndd,Unif 16,ACT7,23.2525637,2ndd,,,
I.Unif.16.4th,Unif 16,ACT7,26.61577042,4th,,,
I.Unif.17.2nd,Unif 17,ACT7,21.20383362,2nd,,,
I.Unif.17.4th,Unif 17,ACT7,20.53876327,4th,,,
I.Unif.18.4th,Unif 18,ACT7,22.53402362,4th,,,
I.Unif.2.2nd,Unif 2,ACT7,22.03049652,2nd,,,
I.Unif.20.4th,Unif 20,ACT7,30.92825118,4th,,,
I.Unif.21.4th,Unif 21,ACT7,23.27726865,4th,,,
I.Unif.24.4th,Unif 24,ACT7,21.23007123,4th,,,
I.Unif.3.4th,Unif 3,ACT7,19.63101849,4th,,,
I.Unif.5.2nd,Unif 5,ACT7,22.54765632,2nd,,,
I.Unif.6.2nd,Unif 6,ACT7,20.58800198,2nd,,,
I.Unif.8.4th,Unif 8,ACT7,20.79939787,4th,,,
I.Unif.9.4th,Unif 9,ACT7,21.33352932,4th,,,
I.GFP.3.2nd,GFP 3,ACT7,22.01933646,fourteen,,,
