Sample	Group	Gene	Ct
I.GFP.11.4th	vigs_infiltrated	TMN5	28.46
I.GFP.11.4th	vigs_infiltrated	UBQ14	25.77
I.GFP.11.4th	vigs_infiltrated	UBQ7	22.23
I.GFP.16.2nd	vigs_infiltrated	ACT7	20.58
I.GFP.16.2nd	vigs_infiltrated	PP2A1	26.64
I.GFP.16.2nd	vigs_infiltrated	TMN5	29.65
I.GFP.16.2nd	vigs_infiltrated	UBQ14	26.16
I.GFP.16.2nd	vigs_infiltrated	UBQ7	21.51
I.GFP.16.4th	vigs_infiltrated	ACT7	23.16
I.GFP.16.4th	vigs_infiltrated	PP2A1	29.7
I.GFP.16.4th	vigs_infiltrated	TMN5	32.24
I.GFP.16.4th	vigs_infiltrated	UBQ14	29.65
I.GFP.16.4th	vigs_infiltrated	UBQ7	25.1
I.GFP.17.2nd	vigs_infiltrated	ACT7	22.6
I.GFP.17.2nd	vigs_infiltrated	PP2A1	28.64
I.GFP.17.2nd	vigs_infiltrated	TMN5	31.41
I.GFP.17.2nd	vigs_infiltrated	UBQ14	28.7
I.GFP.17.2nd	vigs_infiltrated	UBQ7	23.72
I.GFP.18.4th	vigs_infiltrated	ACT7	20.9
I.GFP.18.4th	vigs_infiltrated	PP2A1	26.56
I.GFP.18.4th	vigs_infiltrated	TMN5	28.83
